,FBXO22,AURKC,AKAP7,CCDC158,ZBTB39,CNV_Xq11.2 ,CNV_17q24.3,CNV_7q36.3 ,CNV_3p21.32 ,CNV_14q31.1 ,CNV_3q26.32,CNV_8p23.2  ,CNV_3p,CNV_1q43    ,CNV_Xq23    ,CNV_4q34.3  ,CNV_8q24.22,CNV_1q24.1 ,CNV_2q37.3  ,CNV_9p21.3  ,CNV_13q13.3 ,CNV_6q26    ,CNV_Xp22.2 ,CNV_1q32.1 ,CNV_3p25.3  ,CNV_5q35.1 ,CNV_1p36.23 ,CNV_1p31.1  ,CNV_10p14  ,CNV_4q32.1 ,CNV_10q23.31,CNV_9p23    ,CNV_3p12.2  ,CNV_3q11.2  ,CNV_Xp11.4 
TCGA-CW-5581,638.15,8.51,140.04,12.09,50.27,-0.00027724,-0.0095426,0.0015255,-0.5294,-0.00069303,0.014609,-0.0042787,0.0,0.0,-0.00027724,0.0061017,0.0029133,0.0,0.0063871,-0.0018014,0.006109,0.016565,0.00056613,0.0,-0.5294,0.52485,0.0,0.0,-0.5244,0.010703,-0.0063668,-0.0018014,0.013074,0.013074,0.015727
TCGA-CZ-5458,392.44,12.09,256.78,33.06,38.95,0.20091,-0.00041585,-0.010784,-0.49496,0.0040243,-0.0012576,-0.011841,-0.488,-0.0008316,0.20091,-0.0019399,-0.0087146,-0.0008316,0.0069435,0.0043021,0.0012481,0.0015255,-0.53327,-0.0008316,-0.48911,0.48406,0.0,0.0,-0.0051227,-0.0019399,-0.0070425,0.0043021,-0.49496,-0.49496,-0.53327
TCGA-CJ-6033,915.51,9.7,126.12,1.85,31.22,-0.052984,0.018996,0.0035212,-0.55052,-0.38186,0.23432,-0.65814,-0.551,0.085275,-0.04599,-0.037167,0.22752,0.085275,0.029238,-0.37139,-0.017889,-0.013212,-0.052984,0.085275,-0.56432,0.59069,-0.21028,0.067142,0.0063921,-0.037167,-0.21424,-0.37139,-0.55052,0.18842,-0.052984
TCGA-CZ-5461,490.14,26.86,258.57,1.79,73.03,0.1006,0.0012481,0.23876,-0.45304,-0.23419,0.93588,-0.012024,-0.453,0.012097,0.1114,-0.22121,-0.012024,0.012097,0.23597,-0.43659,0.24389,0.0,0.1006,0.012097,-0.45304,0.262,0.012097,0.012097,-0.082137,-0.22121,-0.082137,-0.43659,-0.45304,-0.45304,0.1006
TCGA-CZ-5985,764.36,26.47,221.86,8.78,34.26,-0.12252,-0.01354,0.0,-0.57397,-0.57812,0.012655,-0.00013862,-0.574,-0.01849,-0.12252,0.010424,-0.00013862,-0.01849,-0.62765,-0.58038,0.0036076,-0.57664,-0.12252,-0.01849,-0.57397,0.55655,-0.01849,-0.01849,-0.0015243,0.010424,0.0069435,-0.58038,-0.57397,-0.57397,-0.12252
TCGA-CZ-5468,660.68,17.38,211.31,2.1,31.67,-0.33733,0.65351,1.1484,-0.34285,-0.33768,0.65792,-0.33722,-0.343,0.0,-0.30287,-0.0034627,0.79084,0.0,-0.31786,-0.96753,-0.31552,-0.62131,0.67493,0.0,-0.34285,0.21791,-0.0010528,-0.0010528,-0.0066207,-0.0034627,-0.34481,-0.3487,-0.34285,-0.34285,0.67493
TCGA-CW-5584,457.25,7.63,183.82,22.1,57.89,-0.063347,-0.0043401,0.013794,-0.54404,-0.54172,0.017216,0.018475,-0.544,0.0018944,-0.061366,0.010377,0.018475,0.0018944,-0.00351,-0.22383,0.0021887,-0.54112,-0.063347,0.0018944,-0.54404,0.0053962,0.0,0.0,0.0006459,0.010377,0.0006459,-0.22383,-0.54404,0.017216,-0.063347
TCGA-B0-5402,429.54,16.39,244.57,4.03,53.19,-0.1126,-0.0027707,-0.00027724,-0.59779,0.0087528,0.0094491,0.0044411,-0.598,0.0033299,-0.1126,-0.052936,0.0044411,0.0033299,0.00083195,-0.2828,0.0055529,-0.60158,-0.11995,0.0033299,-0.59779,0.57648,0.013213,-0.25277,0.0069435,-0.052936,-0.59292,-0.2828,-0.59779,0.0043975,-0.1126
TCGA-B0-5701,981.29,34.02,412.0,19.68,30.56,-0.018436,0.055088,0.51385,-0.54229,-0.53012,-0.0077482,-0.013127,-0.535,0.49701,-0.018436,-0.52573,0.5245,0.022865,-0.0026322,-0.52645,-0.0044312,0.0095883,-0.018436,0.48564,-0.54229,0.53428,-0.48281,0.022865,0.013772,-0.52573,0.0091909,-0.52645,-0.0077482,-0.0077482,-0.018436
TCGA-B0-5712,642.59,11.82,429.54,7.46,26.67,-0.010339,0.026826,-0.0073027,-0.2709,-0.75821,0.22981,-0.76499,-0.273,0.0040556,-0.010339,-0.025468,-0.011442,0.0040556,0.0082661,-0.0042001,-0.01239,-0.011993,-0.010339,0.0040556,-0.27341,0.73657,0.0040556,0.0040556,0.01185,-0.025468,-0.0058456,-0.0042001,-0.28033,0.22842,-0.010339
